Date,Active energy burned(kcal),Apple exercise time(min),Apple stand time(min),Basal energy burned(kcal),Distance cycling(km),Distance walking / running(km),Flights climbed(count),Step count(count)
2020-12-01,369.971,11.000,73.000,1779.379,,2.730,13.782,3614.014
2020-12-02,363.018,9.000,73.000,1762.165,,2.754,13.000,3631.000
2020-12-03,611.073,70.000,117.000,1789.587,,4.471,21.000,5898.000
2020-12-04,790.588,88.000,170.000,1822.947,,7.066,29.295,9312.000
2020-12-05,921.957,118.000,202.000,1870.876,,10.567,28.000,13880.000
2020-12-06,356.210,39.000,98.000,1772.190,,3.861,12.803,5132.000
2020-12-07,637.899,74.000,148.000,1783.082,,6.061,22.000,7952.000
2020-12-08,966.694,89.000,157.000,1824.017,,5.626,20.000,7265.000
2020-12-09,537.876,50.000,131.000,1774.256,,4.467,17.000,5925.000
2020-12-10,627.005,53.000,137.000,1794.819,,3.934,15.000,5210.000
2020-12-11,667.667,57.000,114.000,1763.512,,6.771,19.000,8857.049
2020-12-12,507.188,59.000,172.000,1819.481,,7.026,13.188,9064.000
2020-12-13,630.577,58.000,118.000,1805.355,,3.462,11.000,4678.000
2020-12-14,672.140,81.000,134.000,1812.065,,4.892,22.000,6432.000
2020-12-15,484.383,33.000,112.000,1790.595,,5.013,22.399,6543.000
2020-12-16,649.189,68.000,114.000,1791.297,,4.427,22.000,5892.000
2020-12-17,933.089,128.000,226.000,1821.342,,9.128,32.000,11920.259
2020-12-18,462.927,25.000,80.000,1795.611,,2.409,18.046,3193.000
2020-12-19,579.467,43.000,151.000,1788.276,7.052,4.498,19.000,5995.000
2020-12-20,420.314,16.000,123.000,1801.600,,4.223,20.000,5560.000
2020-12-21,419.312,14.000,98.000,1779.567,,3.795,16.000,5024.000
2020-12-22,571.813,49.000,158.000,1797.536,,6.585,44.000,8701.000
2020-12-23,781.324,64.000,116.000,1753.946,,10.358,26.000,11109.000
2020-12-24,355.122,13.000,89.000,1769.315,,3.977,10.000,5125.000
2020-12-25,266.911,5.000,65.000,1750.432,,1.915,14.000,2580.000
2020-12-26,897.060,139.000,234.000,1810.450,,4.211,7.779,5643.000
2020-12-27,731.909,54.000,105.000,1749.780,,9.442,28.735,9742.000
2020-12-28,491.686,17.000,122.000,1785.303,,4.558,25.000,6072.000
2020-12-29,759.999,56.000,108.000,1782.074,,9.780,19.000,10243.000
2020-12-30,331.154,11.000,81.000,1767.415,,2.937,19.000,3978.000
2020-12-31,792.825,65.000,123.000,1778.518,,10.396,33.000,11199.992
