Date,Active energy burned(kcal),Apple exercise time(min),Apple stand time(min),Basal energy burned(kcal),Distance cycling(km),Distance walking / running(km),Flights climbed(count),Step count(count)
2020-12-01 00:00:00,0.360,,,53.852,,0.006,,9.000
2020-12-01 01:00:00,0.405,,,70.930,,,,
2020-12-01 02:00:00,0.498,,,70.661,,,,
2020-12-01 03:00:00,0.328,,,70.810,,,,
2020-12-01 04:00:00,0.526,,,70.566,,,,
2020-12-01 05:00:00,0.417,,,70.353,,,,
2020-12-01 06:00:00,22.009,1.000,5.000,76.444,,0.150,1.000,210.000
2020-12-01 07:00:00,39.687,,14.000,79.365,,0.576,,778.000
2020-12-01 08:00:00,41.633,4.000,7.000,76.055,,0.381,5.000,503.000
2020-12-01 09:00:00,17.547,,2.000,73.470,,0.031,,47.000
2020-12-01 10:00:00,16.237,,1.000,75.271,,0.059,,79.000
2020-12-01 11:00:00,27.900,3.000,5.000,77.497,,0.185,2.000,246.014
2020-12-01 12:00:00,21.489,1.000,3.000,76.132,,0.082,1.000,111.000
2020-12-01 13:00:00,20.440,,9.000,76.369,,0.010,,13.000
2020-12-01 14:00:00,14.987,,,77.812,,,,
2020-12-01 15:00:00,36.099,,9.000,81.222,,0.492,1.000,646.000
2020-12-01 16:00:00,26.151,,5.000,84.762,,0.224,,296.000
2020-12-01 17:00:00,29.531,1.000,8.000,80.553,,0.161,1.000,219.000
2020-12-01 18:00:00,16.110,,,74.018,,0.027,,36.158
2020-12-01 19:00:00,21.622,1.000,2.000,75.576,,0.129,1.782,153.427
2020-12-01 20:00:00,15.996,,3.000,74.799,,0.111,,141.416
2020-12-01 21:00:00,,,,70.954,,0.106,1.000,126.000
2020-12-01 22:00:00,,,,70.954,,,,
2020-12-01 23:00:00,,,,70.954,,,,
2020-12-02 00:00:00,,,,70.954,,,,
2020-12-02 01:00:00,,,,70.954,,,,
2020-12-02 02:00:00,,,,70.954,,,,
2020-12-02 03:00:00,,,,70.954,,,,
2020-12-02 04:00:00,,,,70.954,,,,
2020-12-02 05:00:00,,,,70.988,,,,
2020-12-02 06:00:00,23.021,,7.000,60.793,,0.134,,172.000
2020-12-02 07:00:00,60.334,3.000,18.000,79.105,,0.798,5.000,1057.000
2020-12-02 08:00:00,18.453,1.000,2.000,72.481,,0.073,,99.000
2020-12-02 09:00:00,14.656,,,75.524,,0.006,,8.000
2020-12-02 10:00:00,19.581,,4.000,74.245,,0.097,,133.000
2020-12-02 11:00:00,15.010,,,74.548,,0.045,,61.000
2020-12-02 12:00:00,16.060,,,76.692,,,,
2020-12-02 13:00:00,14.347,,,74.492,,0.013,,17.000
2020-12-02 14:00:00,20.794,1.000,3.000,77.231,,0.088,1.000,120.000
2020-12-02 15:00:00,22.497,1.000,5.000,76.092,,0.020,,27.000
2020-12-02 16:00:00,21.136,,5.000,75.423,,0.133,1.000,177.000
2020-12-02 17:00:00,33.207,1.000,10.000,77.731,,0.414,,539.000
2020-12-02 18:00:00,35.633,1.804,7.000,79.594,,0.380,2.000,499.000
2020-12-02 19:00:00,18.617,0.196,3.000,74.628,,0.072,,98.000
2020-12-02 20:00:00,19.323,,7.000,73.755,,0.308,2.000,393.000
2020-12-02 21:00:00,5.086,,1.000,72.242,,0.121,1.000,157.392
2020-12-02 22:00:00,4.937,,1.000,71.524,,0.053,1.000,73.608
2020-12-02 23:00:00,0.327,,,70.306,,,,
2020-12-03 00:00:00,0.564,,,69.456,,,,
2020-12-03 01:00:00,0.773,,,70.884,,,,
2020-12-03 02:00:00,0.421,,,70.335,,,,
2020-12-03 03:00:00,0.840,,,69.791,,,,
2020-12-03 04:00:00,3.334,,1.000,70.237,,0.023,,32.000
2020-12-03 05:00:00,0.698,,,70.517,,,,
2020-12-03 06:00:00,21.368,,7.000,77.233,,0.249,1.000,325.415
2020-12-03 07:00:00,55.068,3.000,18.000,79.997,,0.683,5.000,933.585
2020-12-03 08:00:00,18.421,,2.000,76.947,,0.051,,74.000
2020-12-03 09:00:00,24.337,2.000,2.000,75.280,,0.123,1.000,162.000
2020-12-03 10:00:00,17.639,,,78.409,,,,
