Date,Active energy burned(kcal),Apple exercise time(min),Apple stand time(min),Basal energy burned(kcal),Distance cycling(km),Distance walking / running(km),Flights climbed(count),Step count(count)
2020-01,16159.793,1175.000,3428.000,58056.466,,129.399,374.570,172322.861
2020-02,16317.277,1226.000,3877.200,55321.190,,155.816,363.074,206490.009
2020-03,14806.140,979.000,3475.000,59231.035,,143.365,454.506,184082.999
2020-04,15142.970,823.000,3418.000,67561.827,53.743,145.794,306.173,178354.487
2020-05,16163.595,1230.000,3734.400,57629.014,,156.966,496.778,199788.242
2020-06,15699.154,1024.000,3797.600,57134.454,57.577,143.901,296.943,192309.916
2020-07,18384.346,1306.000,5136.000,60105.318,,201.149,468.918,264915.991
2020-08,20454.393,1787.000,4671.000,59548.145,126.614,172.855,600.440,233857.326
2020-09,18793.939,2119.000,4434.000,56204.349,80.717,171.721,565.715,224454.870
2020-10,14676.379,1367.000,3355.600,56507.492,45.811,147.776,483.474,184014.069
2020-11,18201.036,1184.000,3082.000,54215.885,,200.358,614.674,227330.114
2020-12,18586.280,1656.000,3949.000,55503.024,7.052,171.336,633.026,215370.314
