Date,Active energy burned(kcal),Activity,Distance(km),Duration(Seconds),Flights climbed(count),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),Swimming stroke count(count)
2020-12-03 13:20:51 - 2020-12-03 14:04:51,172.175,Traditional Strength Training,,2639.833,,0.958,0.042,0,0,0,94.626,123,
2020-12-04 13:57:53 - 2020-12-04 14:39:41,192.494,Traditional Strength Training,,2507.794,,0.835,0.15,0.015,0,0,105.895,144,
2020-12-05 10:24:19 - 2020-12-05 11:10:45,207.904,Traditional Strength Training,,2786.491,,0.839,0.137,0.024,0,0,97.777,140,
2020-12-05 14:34:31 - 2020-12-05 16:15:21,305.067,Walking,5.654,4654.858,,1,0,0,0,0,86.085,107,
2020-12-06 14:38:32 - 2020-12-06 15:22:46,24.203,Traditional Strength Training,,2653.288,,1,0,0,0,0,64.364,80,
2020-12-07 18:22:10 - 2020-12-07 19:07:12,166.293,Traditional Strength Training,,2701.855,,0.969,0.031,0,0,0,80.106,128,
2020-12-08 17:04:33 - 2020-12-08 18:03:22,462.832,Squash,1.358,3528.24,,0.367,0.19,0.333,0.11,0,124.111,169,
2020-12-09 17:34:59 - 2020-12-09 18:06:26,124.371,Traditional Strength Training,,1886.188,,0.996,0.004,0,0,0,86.675,117,
2020-12-10 08:14:51 - 2020-12-10 08:56:36,185.748,Traditional Strength Training,,2504.778,,0.797,0.158,0.045,0,0,102.068,148,
2020-12-11 15:16:37 - 2020-12-11 16:00:36,374.324,Running,3.605,2478.321,,0.094,0.069,0.173,0.664,0,151.891,169,
2020-12-12 10:35:51 - 2020-12-12 11:27:28,26.259,Traditional Strength Training,,3096.677,,1,0,0,0,0,79.417,101,
2020-12-13 10:26:56 - 2020-12-13 11:20:51,282.835,Traditional Strength Training,,3234.654,,0.679,0.261,0.06,0,0,105.116,151,
2020-12-14 17:16:57 - 2020-12-14 18:14:09,219.043,Traditional Strength Training,,3432.595,,0.972,0.028,0,0,0,92.266,127,
2020-12-16 17:07:20 - 2020-12-16 17:56:22,205.439,Traditional Strength Training,,2941.77,,0.921,0.059,0.02,0,0,92.812,140,
2020-12-17 14:20:58 - 2020-12-17 15:34:54,314.195,Traditional Strength Training,,4436.395,,0.9,0.099,0.001,0,0,103.754,136,
2020-12-19 12:49:25 - 2020-12-19 13:16:34,164.511,Cycling,7.051,1628.555,,0.478,0.508,0,0.014,0,114.377,166,
2020-12-23 14:50:01 - 2020-12-23 15:46:39,538.404,Running,8.517,3366.855,,0,0.124,0.75,0.126,0,143.938,162,
2020-12-27 14:29:13 - 2020-12-27 15:16:20,467.978,Running,7.562,2799.542,,0,0.002,0.401,0.597,0,155.796,166,
2020-12-29 14:35:51 - 2020-12-29 15:21:47,457.738,Running,7.467,2754.964,,0,0,0.665,0.335,0,154.157,166,
2020-12-31 10:34:16 - 2020-12-31 11:20:22,454.216,Running,7.258,2716.623,,0,0.069,0.251,0.68,0,154.54,168,
